Time (s),Temperature_ve
0.0,9999.95
1e-08,9999.27
2e-08,9998.58
3.0000000000000004e-08,9997.88
4e-08,9997.19
5.0000000000000004e-08,9996.49
6.000000000000001e-08,9995.8
7e-08,9995.1
8e-08,9994.4
9.000000000000001e-08,9993.71
1.0000000000000001e-07,9993.01
2.0000000000000002e-07,9986.01
3.0000000000000004e-07,9978.98
4.0000000000000003e-07,9971.9
5.000000000000001e-07,9964.78
6.000000000000001e-07,9957.62
7.000000000000001e-07,9950.42
8.000000000000001e-07,9943.14
9.000000000000001e-07,9935.65
1.0000000000000002e-06,9928.12
2.0000000000000003e-06,9850.3
3e-06,9767.64
4.000000000000001e-06,9677.52
5e-06,9581.17
6e-06,9476.18
7.000000000000001e-06,9362.18
8.000000000000001e-06,9238.09
9e-06,9102.68
1e-05,8954.65
1.1000000000000001e-05,8792.24
1.2e-05,8614.5
1.3000000000000001e-05,8419.81
1.4000000000000001e-05,8207.3
1.5e-05,7976.22
1.6000000000000003e-05,7727.09
1.7e-05,7461.69
1.8e-05,7183.78
1.9e-05,6899.19
2e-05,6615.95
2.1000000000000002e-05,6343.5
2.2000000000000003e-05,6091.4
2.3e-05,5867.64
2.4e-05,5677.19
2.5e-05,5521.4
2.6000000000000002e-05,5398.42
2.7000000000000002e-05,5304.21
2.8000000000000003e-05,5233.77
2.9e-05,5182.08
3e-05,5144.68
3.1e-05,5117.88
3.2000000000000005e-05,5098.8
3.3e-05,5085.28
3.4e-05,5075.71
3.5000000000000004e-05,5068.94
3.6e-05,5064.14
3.7000000000000005e-05,5060.72
3.8e-05,5058.27
3.9e-05,5056.5
4e-05,5055.2
4.1e-05,5054.23
4.2000000000000004e-05,5053.48
4.3e-05,5052.9
4.4000000000000006e-05,5052.43
4.5e-05,5052.04
4.6e-05,5051.7
4.7000000000000004e-05,5051.4
4.8e-05,5051.13
4.9000000000000005e-05,5050.87
5e-05,5050.63
5.1000000000000006e-05,5050.4
5.2000000000000004e-05,5050.17
5.3e-05,5049.95
5.4000000000000005e-05,5049.74
5.5e-05,5049.52
5.6000000000000006e-05,5049.31
5.7e-05,5049.1
5.8e-05,5048.89
5.9000000000000004e-05,5048.68
6e-05,5048.47
6.1000000000000005e-05,5048.26
6.2e-05,5048.06
6.3e-05,5047.85
6.400000000000001e-05,5047.64
6.500000000000001e-05,5047.44
6.6e-05,5047.23
6.7e-05,5047.03
6.8e-05,5046.82
6.900000000000001e-05,5046.62
7.000000000000001e-05,5046.42
7.1e-05,5046.22
7.2e-05,5046.01
7.3e-05,5045.81
7.400000000000001e-05,5045.61
7.500000000000001e-05,5045.41
7.6e-05,5045.21
7.7e-05,5045.01
7.8e-05,5044.82
7.900000000000001e-05,5044.62
8e-05,5044.42
8.1e-05,5044.22
8.2e-05,5044.03
8.300000000000001e-05,5043.83
8.400000000000001e-05,5043.64
8.5e-05,5043.44
8.6e-05,5043.25
8.7e-05,5043.05
8.800000000000001e-05,5042.86
8.900000000000001e-05,5042.67
9e-05,5042.48
9.1e-05,5042.28
9.2e-05,5042.09
9.300000000000001e-05,5041.9
9.400000000000001e-05,5041.71
9.5e-05,5041.52
9.6e-05,5041.34
9.7e-05,5041.15
9.800000000000001e-05,5040.96
9.900000000000001e-05,5040.77
0.0001,5040.59
